Classification	RDP	UTAX	SINTAX	Consensus
Fungi	42430	42430	42430	42430
Aphelidiomycota	0	7	1	7
Ascomycota	20260	27646	18100	28178
Basidiomycota	8529	12324	9797	12456
Calcarisporiellomycota	0	3	0	3
Chytridiomycota	12	289	107	287
Entomophthoromycota	0	7	0	7
Glomeromycota	132	294	228	293
Kickxellomycota	0	3	3	3
Monoblepharomycota	0	12	4	12
Mortierellomycota	0	182	100	125
Mucoromycota	0	19	8	19
Neocallimastigomycota	0	1	0	1
Olpidiomycota	0	28	9	28
Rozellomycota	0	38	8	38
Unidentified	13336	1572	14063	904
Zoopagomycota	0	5	2	5
Zygomycota	161	0	0	64
Agaricomycetes	0	9770	8017	9376
Agaricomycotina	7205	0	0	1243
Agaricostilbomycetes	0	51	16	33
Aphelidiomycetes	0	7	1	7
Archaeorhizomycetes	0	16	10	16
Archaeosporomycetes	0	9	8	9
Arthoniomycetes	0	5	1	3
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Atractiellomycetes	0	1	0	1
Basidiobolomycetes	0	4	0	4
Calcarisporiellomycetes	0	3	0	3
Chytridiomycetes	0	29	3	28
Chytridiomycota_incertae sedis	12	0	0	0
Chytridiomycota_incertae_sedis	0	0	0	4
Cladochytriomycetes	0	1	0	1
Coniocybomycetes	0	1	0	1
Cystobasidiomycetes	0	29	3	7
Dacrymycetes	0	11	1	10
Dothideomycetes	0	6786	2407	4325
Endogonomycetes	0	7	1	7
Entomophthoromycetes	0	3	0	3
Eurotiomycetes	0	1072	586	694
Exobasidiomycetes	0	7	2	7
Geminibasidiomycetes	0	2	2	2
Geoglossomycetes	0	17	9	14
Glomeromycetes	0	254	105	194
Glomeromycota_incertae sedis	132	0	0	0
Glomeromycota_incertae_sedis	0	0	0	67
Gs04	0	1	0	1
Gs05	0	6	0	6
Gs06	0	1	0	1
Gs10	0	1	0	1
Gs11	0	1	0	1
Gs14	0	1	1	1
Gs27	0	4	0	4
Gs37	0	2	1	2
Hyaloraphidiomycetes	0	1	0	1
Kickxellomycetes	0	3	3	3
Kickxellomycotina	3	0	0	0
Lecanoromycetes	0	155	52	125
Leotiomycetes	0	10951	3841	6506
Lichinomycetes	0	1	0	0
Lobulomycetes	0	2	0	2
Malasseziomycetes	0	66	6	6
Microbotryomycetes	0	140	45	66
Monoblepharidomycetes	0	11	4	11
Mortierellomycetes	0	182	100	122
Mucoromycetes	0	10	6	10
Mucoromycotina	158	0	0	67
Neocallimastigomycetes	0	1	0	1
Olpidiomycetes	0	28	9	28
Orbiliomycetes	0	110	48	108
Paraglomeromycetes	0	2	2	2
Pezizomycetes	0	111	59	91
Pezizomycotina	19345	0	0	10327
Pucciniomycetes	0	25	15	22
Pucciniomycotina	221	0	0	144
Rhizophlyctidomycetes	0	10	4	10
Rhizophydiomycetes	0	38	8	38
Saccharomycetes	0	287	267	283
Saccharomycotina	267	0	0	5
Sordariomycetes	0	7167	4105	5100
Spiculogloeomycetes	0	15	0	13
Spizellomycetes	0	97	31	93
Taphrinomycetes	0	14	3	7
Taphrinomycotina	11	0	0	10
Tremellomycetes	0	1576	629	831
Umbelopsidomycetes	0	2	1	2
Unidentified	14497	2781	21598	1714
Ustilaginomycetes	0	534	417	421
Ustilaginomycotina	578	0	0	176
Xylonomycetes	0	3	1	3
Zoopagomycetes	0	5	2	5
Acarosporales	0	19	7	15
Acrospermales	0	5	2	5
Agaricales	0	6701	4326	5363
Agaricomycetes	5675	0	0	1637
Agaricostilbales	0	50	15	37
Agaricostilbomycetes	29	0	0	14
Amylocorticiales	0	1	1	1
Annulatascales	0	1	0	1
Archaeorhizomycetales	0	15	8	15
Archaeosporales	0	9	8	9
Arthoniales	0	2	0	1
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Atheliales	0	49	27	35
Atractiellales	0	1	0	1
Auriculariales	0	63	19	59
Basidiobolales	0	4	0	4
Boletales	0	194	21	40
Boliniales	0	104	1	104
Botryosphaeriales	0	19	2	18
Calcarisporiellales	0	3	0	3
Caliciales	0	10	1	8
Calosphaeriales	0	2	0	2
Candelariales	0	1	1	1
Cantharellales	0	114	49	76
Capnodiales	0	504	46	271
Chaetosphaeriales	0	25	3	25
Chaetothyriales	0	859	506	708
Chrysozymaceae	0	27	0	2
Chytridiales	0	12	0	12
Chytridiomycetes	12	0	0	4
Cladochytriales	0	1	0	1
Colacogloea	0	3	0	1
Coniochaetales	0	650	171	565
Coniocybales	0	1	0	1
Corticiales	0	33	8	31
Coryneliales	0	3	0	3
Curvibasidium	0	21	0	2
Cyphobasidiales	0	1	0	1
Cystobasidiales	0	7	2	5
Cystobasidiomycetes	2	0	0	2
Cystofilobasidiales	0	579	469	517
Dacrymycetales	0	11	1	11
Diaporthales	0	171	52	87
Diversisporales	0	11	9	10
Dothideales	0	472	19	133
Dothideomycetes	2507	0	0	1737
Endogonales	0	6	1	6
Entomophthorales	0	3	0	3
Entylomatales	0	1	1	1
Erysiphales	0	28	18	26
Erythrobasidiales	0	9	0	8
Eurotiales	0	86	55	67
Eurotiomycetes	526	0	0	167
Exobasidiales	0	1	0	1
Exobasidiomycetes	2	0	0	0
Filobasidiales	0	428	26	58
Geastrales	0	32	18	26
Geminibasidiales	0	2	2	2
Geoglossales	0	17	9	17
Gigasporales	0	6	0	6
Gloeophyllales	0	3	1	3
Glomerales	0	236	91	177
Glomerellales	0	31	5	23
Glomeromycetes	132	0	0	67
Gomphales	0	35	6	33
Gs16	0	7	1	7
Gs22	0	1	0	1
Gs23	0	1	0	1
Gs27	0	4	0	4
Gs29	0	1	0	1
Gs33	0	5	1	5
Gs34	0	3	1	3
Gs36	0	1	0	1
Gs37	0	2	1	2
Helicobasidiales	0	1	1	1
Helotiales	0	10750	3653	10025
Holtermanniales	0	13	2	4
Hyaloraphidiales	0	1	0	1
Hymenochaetales	0	48	26	43
Hypocreales	0	2848	1979	2444
Hysterangiales	0	1	1	1
Hysteriales	0	43	7	43
Incertae_sedis	0	0	5	1
Jahnulales	0	8	1	8
Kickxellales	0	3	3	3
Kickxellomycotina_incertae sedis	3	0	0	0
Lecanorales	0	46	15	44
Lecanoromycetes	34	0	0	13
Lecideales	0	8	1	5
Leotiomycetes	2532	0	0	791
Leucosporidiales	0	13	2	4
Lichenostigmatales	0	2	0	2
Lichinales	0	1	0	1
Lobulomycetales	0	2	0	2
Lulworthiales	0	2	0	1
Magnaporthales	0	1145	889	1004
Malasseziales	0	66	6	6
Melanosporales	0	4	1	3
Microascales	0	72	6	70
Microbotryales	0	9	9	9
Microbotryomycetes	130	0	0	103
Microbotryomycetes_incertae_sedis	0	0	0	1
Microstromatales	0	4	0	4
Minutisphaerales	0	3	0	3
Monoblepharidales	0	8	4	8
Mortierellales	0	182	100	122
Mucorales	0	10	6	10
Mucoromycotina_incertae sedis	158	0	0	0
Mucoromycotina_incertae_sedis	0	0	0	67
Myriangiales	0	4	1	4
Myrmecridiales	0	10	1	7
Mytilinidales	0	2	1	2
Mytilinidiales	0	1	0	1
Naohideales	0	2	0	2
Neocallimastigales	0	1	0	1
Olpidiales	0	28	9	28
Onygenales	0	80	3	26
Ophiostomatales	0	14	2	14
Orbiliales	0	75	25	75
Orbiliomycetes	5	0	0	1
Ostropales	0	12	2	12
Pachnocybales	0	1	0	1
Paraglomerales	0	2	2	2
Patellariales	0	3	1	3
Peltigerales	0	7	2	7
Pertusariales	0	6	1	5
Pezizales	0	110	58	96
Pezizomycetes	42	0	0	15
Pezizomycotina_incertae sedis	69	0	0	0
Pezizomycotina_incertae_sedis	0	0	0	50
Phacidiales	0	4	0	3
Phacidiella	0	2	0	2
Phaeomoniellales	0	10	0	10
Phallales	0	3	0	2
Phomatosporales	0	1	0	1
Pleosporales	0	5458	1722	4441
Pleurophragmium	0	33	0	10
Pleurotheciales	0	1	0	1
Polyporales	0	1346	970	1333
Pucciniales	0	20	13	17
Pucciniomycetes	19	0	0	4
Radulidium	0	2	0	1
Rhizocarpales	0	1	1	1
Rhizophlyctidales	0	10	4	10
Rhizophydiales	0	38	8	38
Rhytismatales	0	25	2	24
Russulales	0	60	44	54
Saccharomycetales	0	287	266	282
Saccharomycetes	267	0	0	6
Sarea	0	2	0	2
Savoryellales	0	1	0	1
Sclerococcales	0	1	0	1
Sebacinales	0	80	67	78
Septobasidiales	0	1	0	1
Sordariales	0	1411	112	988
Sordariomycetes	4119	0	0	1437
Spiculogloeales	0	15	0	13
Spizellomycetales	0	97	31	94
Sporidiobolales	0	54	15	38
Sporidiobolales incertae sedis	0	0	0	1
Stereopsidales	0	1	0	1
Symmetrosporaceae	0	7	0	1
Taphrinales	0	14	3	7
Taphrinomycetes	11	0	0	10
Teloschistales	0	10	2	10
Thelebolales	0	35	3	29
Thelephorales	0	96	83	89
Tilletiales	0	1	1	1
Togniniales	0	14	0	14
Trapeliales	0	2	0	2
Trechisporales	0	634	390	628
Tremellales	0	384	61	177
Tremellodendropsidales	0	6	1	6
Tremellomycetes	1365	0	0	830
Trichosphaeriales	0	2	0	0
Trichosporonales	0	2	1	1
Trullula	0	1	0	1
Trypetheliales	0	1	0	1
Tubeufiales	0	4	0	4
Umbelopsidales	0	1	1	1
Umbilicariales	0	3	1	3
Unidentified	24214	3970	25314	3375
Urocystidales	0	14	14	14
Ustilaginales	0	520	403	407
Ustilaginomycetes	508	0	0	113
Ustilaginomycotina_incertae sedis	68	0	0	0
Ustilaginomycotina_incertae_sedis	0	0	0	63
Venturiales	0	85	22	58
Verrucariales	0	20	5	16
Xylariales	0	276	32	174
Xylomelasma	0	1	0	1
Zoopagales	0	5	2	5
Acarosporaceae	0	19	7	16
Acarosporomycetidae	4	0	0	3
Acaulosporaceae	0	11	9	10
Acephala	0	18	0	6
Acremonium	0	20	0	7
Acremonium charticola	0	0	0	1
Aecidium	0	2	0	0
Agaricaceae	0	28	11	23
Agaricomycetes_incertae sedis	180	0	0	0
Agaricomycetes_incertae_sedis	0	0	0	70
Agaricomycetidae	5098	0	0	4131
Agaricostilbomycetes_incertae sedis	29	0	0	0
Agaricostilbomycetes_incertae_sedis	0	0	0	14
Albatrellaceae	0	2	2	2
Aliquandostipitaceae	0	8	1	8
Alphamycetaceae	0	3	0	3
Amanitaceae	0	9	2	9
Ambisporaceae	0	1	1	1
Amniculicolaceae	0	20	2	20
Amphisphaeriaceae	0	30	0	27
Amylocorticiaceae	0	1	1	1
Annulatascaceae	0	1	0	1
Anthracoideaceae	0	1	0	1
Anungitea	0	1	0	1
Anzina	0	1	0	1
Apiosporaceae	0	2	1	2
Aplosporellaceae	0	1	0	1
Aquamycetaceae	0	2	0	2
Archaeorhizomycetaceae	0	15	8	15
Archaeosporaceae	0	7	0	2
Ascobolaceae	0	4	1	4
Ascomycota_incertae sedis	1	0	0	0
Ascomycota_incertae_sedis	0	0	0	1
Ascosphaeraceae	0	2	1	2
Aspergillaceae	0	67	34	37
Atheliaceae	0	45	27	37
Aureobasidiaceae	0	136	0	44
Auriculariaceae	0	24	2	24
Auriscalpiaceae	0	5	2	5
Bankeraceae	0	1	0	1
Beltraniaceae	0	5	0	5
Bionectriaceae	0	7	2	3
Bolbitiaceae	0	51	14	28
Boletaceae	0	172	9	22
Botryobasidiaceae	0	1	0	1
Botryosphaeriaceae	0	7	0	7
Bulleraceae	0	9	1	3
Bulleribasidiaceae	0	163	23	72
Cadophora	0	519	0	348
Calathella	0	1	0	1
Calcarisporiellaceae	0	3	0	3
Caliciaceae	0	4	0	4
Calosphaeriaceae	0	1	0	1
Camarographium	0	4	0	4
Candelariaceae	0	1	1	1
Candida	0	16	0	9
Cantharellaceae	0	4	0	4
Capnodiaceae	0	4	3	4
Cephalothecaceae	0	34	7	34
Ceratobasidiaceae	0	56	14	39
Ceratocystidaceae	0	3	0	3
Ceratostomataceae	0	2	0	2
Cerrenaceae	0	1	1	1
Chaetomellaceae	0	2	1	1
Chaetomiaceae	0	471	13	305
Chaetosphaeriaceae	0	23	3	23
Chaetothyriaceae	0	10	0	10
Chaetothyriomycetidae	445	0	0	308
Chalara	0	299	0	291
Chalastospora	0	1	0	0
Chionosphaeraceae	0	32	12	24
Chrysosporium	0	6	0	5
Chrysozyma	0	4	0	0
Chytridiaceae	0	1	0	1
Chytridiomycetes_incertae sedis	12	0	0	0
Chytridiomycetes_incertae_sedis	0	0	0	5
Chytriomycetaceae	0	1	0	1
Ciliciopodium	0	1	0	1
Cladoniaceae	0	3	1	2
Cladosporiaceae	0	57	1	31
Claroideoglomeraceae	0	24	15	21
Clathrosporium	0	1	0	0
Clavariaceae	0	52	15	46
Clavicipitaceae	0	1439	1121	1198
Clavulinaceae	0	5	4	5
Clematidis	0	2	0	2
Coccocarpiaceae	0	1	0	1
Colacogloea_philyla	0	1	0	1
Colacogloea_terpenoidalis	0	1	0	0
Coleosporiaceae	0	1	1	1
Coniochaetaceae	0	635	138	597
Coniocybaceae	0	1	0	1
Coniophoraceae	0	1	1	1
Coniothyriaceae	0	1	0	1
Conlarium	0	1	0	1
Cordycipitaceae	0	18	4	13
Coriolaceae	0	4	1	2
Corticiaceae	0	31	7	31
Cortinariaceae	0	25	18	24
Coryneliaceae	0	3	0	3
Corynesporascaceae	0	8	0	7
Crepidotaceae	0	10	5	9
Cryphonectriaceae	0	1	0	1
Cryptocoryneum	0	1	0	1
Cucurbitariaceae	0	4	0	4
Cudoniaceae	0	1	1	1
Cunninghamellaceae	0	4	2	4
Curvibasidium_cygneicollum	0	15	0	2
Cyclaneusma	0	1	0	1
Cyphellaceae	0	4	1	4
Cyphellophoraceae	0	5	1	5
Cyrenella	0	2	0	2
Cystobasidiaceae	0	7	2	5
Cystobasidiomycetes_incertae sedis	2	0	0	0
Cystobasidiomycetes_incertae_sedis	0	0	0	2
Cystodendron	0	1	0	1
Cystofilobasidiaceae	0	5	3	4
Cystostereaceae	0	1	0	1
Dacrymycetaceae	0	11	1	11
Dactylosporaceae	0	1	0	1
Debaryomycetaceae	0	3	1	1
Densospora	0	1	0	1
Dermateaceae	0	75	1	67
Diaporthaceae	0	28	0	17
Diatrypaceae	0	30	1	23
Dictyosporiaceae	0	8	3	7
Didymellaceae	0	167	0	67
Didymosphaeriaceae	0	107	0	102
Dipodascaceae	0	3	0	2
Discinaceae	0	2	2	2
Dissoconiaceae	0	2	1	2
Dothideaceae	0	187	1	126
Dothideomycetes_incertae sedis	10	0	0	0
Dothideomycetes_incertae_sedis	0	0	0	7
Dothideomycetidae	485	0	0	474
Dothioraceae	0	92	1	37
Elaphomycetaceae	0	7	1	7
Endochytriaceae	0	1	0	1
Endosporium	0	1	0	1
Entolomataceae	0	60	16	54
Entomophthoraceae	0	3	0	3
Entylomataceae	0	1	1	1
Eremascaceae	0	1	0	1
Erysiphaceae	0	28	18	26
Erythrobasidiaceae	0	2	0	2
Eurotiomycetes_incertae sedis	2	0	0	0
Eurotiomycetes_incertae_sedis	0	0	0	2
Eurotiomycetidae	77	0	0	39
Exidiaceae	0	3	0	2
Exobasidiomycetes_incertae sedis	2	0	0	0
Extremaceae	0	19	1	19
Favolaschiaceae	0	1	0	0
Fellozyma	0	1	0	1
Fenestellaceae	0	6	0	5
Filobasidiaceae	0	407	17	54
Flavomyces	0	3	0	1
Fomitopsidaceae	0	14	7	12
Fulvoflamma	0	1	0	1
Fusidium	0	2	0	2
Ganodermataceae	0	1	0	1
Gastrosporiaceae	0	3	0	3
Gautieriaceae	0	2	1	2
Geastraceae	0	28	8	15
Geminibasidiaceae	0	2	2	2
Geoglossaceae	0	15	8	15
Gigasporaceae	0	6	0	6
Gloeocystidiellaceae	0	3	2	3
Gloeophyllaceae	0	3	1	3
Glomeraceae	0	206	61	145
Glomerellaceae	0	17	1	11
Glomeromycetes_incertae sedis	132	0	0	0
Glomeromycetes_incertae_sedis	0	0	0	82
Glomosporiaceae	0	3	3	3
Gloniaceae	0	2	1	2
Gnomoniaceae	0	4	0	2
Goidanichiella	0	1	0	1
Gomphaceae	0	32	3	31
Gomphidiaceae	0	3	0	3
Graphiolaceae	0	1	0	1
Gymnoascaceae	0	1	0	0
Halosphaeriaceae	0	8	0	8
Hansfordia	0	2	0	1
Hasegawazyma	0	1	0	1
Hebelomataceae	0	2	0	0
Helicobasidiaceae	0	1	1	1
Helotiaceae	0	1938	130	1539
Helvellaceae	0	1	0	1
Hericiaceae	0	1	0	1
Hermatomyces	0	1	0	1
Herpotrichiellaceae	0	668	218	412
Holtermanniella	0	13	0	7
Hyaloraphidium	0	1	0	1
Hyaloriaceae	0	1	0	1
Hyaloscyphaceae	0	4801	158	3377
Hydnaceae	0	1	1	1
Hydnangiaceae	0	7	2	5
Hydnodontaceae	0	237	215	235
Hygrophoraceae	0	17	5	13
Hymenochaetaceae	0	16	8	13
Hymenogastraceae	0	14	1	3
Hyphodermataceae	0	6	4	6
Hypocreaceae	0	36	21	32
Hypocreales_incertae_sedis	0	0	0	1
Hypocreomycetidae	2067	0	0	597
Hyponectriaceae	0	14	0	10
Hysterangiaceae	0	1	1	1
Icmadophilaceae	0	1	0	1
Incertae_sedis	0	0	56	1
Inocybaceae	0	38	10	26
Junewangia	0	103	0	103
Kappamycetaceae	0	4	0	4
Kendrickiella	0	1	0	0
Kickxellaceae	0	2	2	2
Kickxellomycotina_incertae sedis	3	0	0	0
Kickxellomycotina_incertae_sedis	0	0	0	1
Kondoaceae	0	15	3	10
Kuraishia	0	1	0	0
Lachnocladiaceae	0	3	2	3
Lasiosphaeriaceae	0	610	62	522
Lecanoraceae	0	15	4	9
Lecanoromycetes_incertae sedis	1	0	0	0
Lecanoromycetidae	25	0	0	11
Lecideaceae	0	8	1	6
Lentariaceae	0	1	0	0
Lentitheciaceae	0	139	6	135
Leohumicola	0	8	0	7
Leotiaceae	0	56	8	53
Leotiomycetes_incertae sedis	1	0	0	0
Leotiomycetes_incertae_sedis	0	0	0	1
Leotiomycetidae	2482	0	0	2351
Leptodiscella	0	4	0	4
Leptodontidium	0	6	0	6
Leptosphaeriaceae	0	80	1	66
Leucosporidiaceae	0	11	0	2
Lichinaceae	0	1	0	1
Lindgomycetaceae	0	440	12	440
Lipomycetaceae	0	1	1	1
Lobariaceae	0	1	0	1
Lobulomycetaceae	0	2	0	2
Lophiostomataceae	0	417	1	311
Lophiotremataceae	0	4	0	4
Lulworthiaceae	0	2	0	1
Lycoperdaceae	0	68	9	10
Lyophyllaceae	0	13	0	4
Macrodiplodiopsis	0	1	0	1
Macrohilum	0	2	0	2
Magnaporthaceae	0	1144	889	1028
Malasseziaceae	0	65	5	5
Malbranchea	0	66	0	14
Marasmiaceae	0	170	153	163
Massariaceae	0	6	0	6
Massarinaceae	0	29	1	6
Massariosphaeria	0	3	0	3
Mastigosporium	0	1	0	1
Megasporaceae	0	5	1	5
Melampsoraceae	0	6	6	6
Melanconidaceae	0	1	0	1
Melanommataceae	0	201	0	198
Melanosporaceae	0	2	0	0
Meripilaceae	0	2	1	1
Meruliaceae	0	24	13	21
Metschnikowiaceae	0	247	242	244
Microascaceae	0	11	2	8
Microbotryaceae	0	8	8	8
Microbotryomycetes_incertae sedis	130	0	0	0
Microbotryomycetes_incertae_sedis	0	0	0	107
Microcyclospora	0	1	0	1
Microdochiaceae	0	71	0	14
Minimedusa	0	1	0	1
Minutisphaeraceae	0	3	0	3
Monoblepharidaceae	0	1	0	1
Monodictys	0	1	0	1
Morchellaceae	0	5	5	5
Morosphaeriaceae	0	1	0	1
Mortierellaceae	0	173	90	108
Mrakiaceae	0	557	457	517
Mrakiella	0	6	0	5
Mucoraceae	0	4	4	4
Mucoromycotina_incertae sedis	158	0	0	0
Mucoromycotina_incertae_sedis	0	0	0	72
Mycenaceae	0	11	0	10
Mycoarthris	0	1	0	1
Mycochaetophora	0	2	0	2
Mycosphaerellaceae	0	306	10	120
Mycotyphaceae	0	1	0	1
Myrmecridiaceae	0	9	1	8
Mytilinidiaceae	0	1	0	1
Myxocephala	0	1	0	1
Myxotrichaceae	0	19	4	16
Nannizziopsiaceae	0	1	0	1
Naohideaceae	0	2	0	2
Nectriaceae	0	752	356	483
Neocallimastigaceae	0	1	0	1
Neopeckia	0	2	0	2
Nidulariaceae	0	2	1	1
Niessliaceae	0	2	0	2
Ochrocladosporium	0	2	0	0
Oedogoniomycetaceae	0	1	0	1
Oliveonia	0	2	0	2
Olpidiaceae	0	3	1	3
Olpitrichum	0	2	0	2
Omphalotaceae	0	261	2	72
Onygenaceae	0	3	0	3
Ophiocordycipitaceae	0	29	3	24
Ophiostomataceae	0	14	1	13
Orbiliaceae	0	53	18	53
Orbiliomycetidae	5	0	0	1
Ostropomycetidae	1	0	0	1
Pachnocybaceae	0	1	0	1
Pannariaceae	0	2	0	2
Parmeliaceae	0	2	1	2
Passeriniella	0	9	0	9
Patellariaceae	0	3	1	3
Paxillaceae	0	1	1	1
Peltigeraceae	0	3	2	3
Peniophoraceae	0	7	3	3
Peniophorella	0	3	0	2
Periconiaceae	0	1	0	1
Pezizaceae	0	7	4	7
Pezizomycetidae	42	0	0	15
Pezizomycotina_incertae sedis	69	0	0	0
Pezizomycotina_incertae_sedis	0	0	0	60
Phacidiaceae	0	4	0	3
Phacidiella_eucalypti	0	1	0	1
Phacidiella_podocarpi	0	1	0	1
Phaeococcomycetaceae	0	2	0	2
Phaeodactylium	0	1	0	1
Phaeomollisia	0	1	0	0
Phaeomoniellaceae	0	10	0	10
Phaeomycocentrospora	0	1	0	1
Phaeosphaeriaceae	0	902	48	593
Phaeotheca	0	1	0	1
Phaeotremellaceae	0	12	1	11
Phaffomycetaceae	0	5	2	5
Phallomycetidae	27	0	0	18
Phelloriniaceae	0	1	1	1
Phomatosporaceae	0	1	0	1
Phyllostictaceae	0	3	0	3
Physalacriaceae	0	7	4	6
Physciaceae	0	6	1	4
Pichiaceae	0	1	1	1
Pilocarpaceae	0	1	0	1
Piptocephalidaceae	0	5	2	5
Piskurozymaceae	0	12	5	9
Plectosphaerellaceae	0	13	3	12
Pleiochaeta	0	4	0	4
Pleomassariaceae	0	159	7	159
Pleosporaceae	0	389	171	263
Pleosporomycetidae	1178	0	0	971
Pleurophragmium	0	0	0	1
Pleurostomataceae	0	1	0	1
Pleurotaceae	0	2	1	1
Pleurotheciaceae	0	1	0	1
Pluteaceae	0	1	1	1
Polyporaceae	0	4	1	3
Porotheleaceae	0	18	1	17
Porpidiaceae	0	1	0	1
Powellomycetaceae	0	41	21	41
Protomycetaceae	0	1	1	1
Protrudomycetaceae	0	1	0	1
Psathyrellaceae	0	144	65	74
Pseudeurotiaceae	0	30	2	27
Pseudochaetosphaeronema	0	1	0	1
Pseudorobillarda	0	5	0	5
Pterulaceae	0	1	1	1
Pucciniaceae	0	7	1	2
Pucciniomycetes_incertae sedis	19	0	0	0
Pucciniomycetes_incertae_sedis	0	0	0	9
Pyronemataceae	0	66	33	53
Radulidium_subulatum	0	1	0	0
Ramalinaceae	0	9	0	9
Ramophialophora	0	8	0	8
Raveneliaceae	0	1	0	1
Resinicium	0	1	0	1
Reticulascaceae	0	1	0	1
Rhexoacrodictys	0	1	0	1
Rhexocercosporidium	0	74	0	53
Rhizocarpaceae	0	1	1	1
Rhizophlyctidaceae	0	8	2	8
Rhizophydiaceae	0	28	8	28
Rhizopogonaceae	0	2	0	2
Rhynchogastremataceae	0	4	0	3
Rhynchosporium	0	41	0	33
Rhytismataceae	0	20	0	19
Roccellaceae	0	1	0	0
Roesleria	0	1	0	1
Ruineniaceae	0	1	0	1
Russulaceae	0	30	27	30
Rutstroemiaceae	0	19	0	18
Saccharomycetaceae	0	3	2	3
Saccharomycetales_incertae_sedis	0	0	0	2
Saccharomycetidae	267	0	0	12
Sakaguchia	0	1	0	1
Sarcinomyces	0	5	0	3
Sarcosomataceae	0	7	3	6
Sarea_resinae	0	2	0	2
Sarocladium	0	24	0	23
Savoryellaceae	0	1	0	1
Schizoparmaceae	0	16	0	15
Schizoporaceae	0	15	10	15
Sclerodermataceae	0	2	0	2
Sclerotiniaceae	0	19	6	15
Sebacinaceae	0	15	11	15
Selenophoma	0	24	0	8
Septobasidiaceae	0	1	0	1
Serendipitaceae	0	42	14	41
Sirobasidiaceae	0	1	0	1
Sistotrema	0	15	0	14
Sistotremastrum	0	1	0	0
Slooffia	0	16	0	0
Sonoraphlyctidaceae	0	2	2	2
Sordariaceae	0	69	7	67
Sordariomycetes_incertae sedis	14	0	0	0
Sordariomycetes_incertae_sedis	0	0	0	14
Sordariomycetidae	1405	0	0	602
Spathulosporomycetidae	1	0	0	1
Sphaerobolaceae	0	2	2	2
Sphaerophragmiaceae	0	1	0	0
Spiculogloeaceae	0	15	0	13
Spizellomycetaceae	0	21	6	18
Splanchnonema	0	4	0	4
Sporidiobolaceae	0	41	11	26
Sporidiobolales	0	0	0	1
Sporocadaceae	0	5	0	3
Sporormiaceae	0	208	45	152
Stachybotryaceae	0	134	22	116
Steccherinaceae	0	21	2	19
Stephanosporaceae	0	6	3	4
Stereaceae	0	6	3	5
Stereocaulaceae	0	1	1	1
Stereopsidaceae	0	1	0	1
Stictidaceae	0	8	0	8
Stilbella	0	1	0	0
Strophariaceae	0	176	68	138
Suillaceae	0	12	10	11
Symmetrospora	0	7	0	1
Sympoventuriaceae	0	56	5	37
Syncephalastraceae	0	1	0	1
Syzygosporaceae	0	1	0	1
Taphrinaceae	0	10	2	6
Taphrinomycetidae	11	0	0	10
Teloschistaceae	0	9	2	9
Teratosphaeriaceae	0	41	5	39
Tetraplosphaeriaceae	0	1	0	1
Thedgonia	0	1	0	1
Thelebolaceae	0	3	1	3
Thelephoraceae	0	95	83	92
Thermoascaceae	0	2	1	1
Thyrostroma	0	3	0	3
Tilletiaceae	0	1	1	1
Togniniaceae	0	14	0	14
Trapeliaceae	0	1	0	1
Trematosphaeriaceae	0	48	0	48
Tremellaceae	0	164	6	45
Tremellomycetes_incertae sedis	497	0	0	0
Tremellomycetes_incertae_sedis	0	0	0	43
Tremellomycetidae	804	0	0	762
Trichaptum	0	9	0	9
Trichocomaceae	0	8	3	5
Tricholomataceae	0	3899	662	1736
Trichomeriaceae	0	50	5	32
Trichomonascaceae	0	1	1	1
Trichosphaeriaceae	0	2	0	1
Trichosporonaceae	0	2	1	1
Trigonopsidaceae	0	1	0	1
Trimorphomycetaceae	0	14	0	10
Tristratiperidium	0	1	0	1
Trullula_melanochlora	0	1	0	1
Trypetheliaceae	0	1	0	1
Tuberaceae	0	8	2	8
Tubeufiaceae	0	4	0	4
Tubulicrinaceae	0	4	4	4
Tulasnellaceae	0	4	4	4
Typhulaceae	0	9	3	6
Udeniozyma	0	2	0	0
Umbelopsidaceae	0	1	1	1
Umbilicariaceae	0	3	1	3
Unidentified	26056	12338	34703	9925
Urocystidaceae	0	11	11	11
Ustilaginaceae	0	517	387	390
Ustilaginomycetidae	508	0	0	129
Ustilaginomycotina_incertae sedis	68	0	0	0
Ustilaginomycotina_incertae_sedis	0	0	0	64
Ustilentylomataceae	0	1	1	1
Valsaceae	0	11	0	3
Venturiaceae	0	27	12	16
Verrucariaceae	0	16	4	12
Vibrisseaceae	0	23	6	18
Volucrispora	0	1	0	1
Vuilleminiaceae	0	1	0	1
Xenasmataceae	0	1239	911	1238
Xenopolyscytalum	0	14	0	12
Xylariaceae	0	104	11	97
Xylariomycetidae	112	0	0	110
Yunzhangia	0	2	0	0
Yurkovia	0	2	0	1
Absidia	0	4	2	4
Acanthophysellum	0	2	1	2
Acarospora	0	11	2	10
Acarosporales	4	0	0	3
Acaulospora	0	11	5	6
Acephala_applanata	0	6	0	1
Acicuseptoria	0	1	0	0
Acremonium	0	0	6	1
Acremonium_brachypenium	0	1	0	0
Acremonium_cavaraeanum	0	1	0	0
Acremonium_charticola	0	1	0	0
Acremonium_dichromosporum	0	1	0	0
