Isolate,MorphotypeNo,Date_Subculture,Site,Species,Trt,Date_Original,DescriptionTop,DescriptionBottom,Notes,Subcultured,Clustered_morphotype,Archived,New_Notes,DNA,Extraction.plate.NOT.GENEWIZ.PLATES,To_do,Status,Updated_morph,X,OTU,Newest_morph
1332,8,,WG-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,215,,NA,16
72,36,,ER-L,ELEL,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,16
74,36,,ER-L,ELEL,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,16
71,36,,ER-L,ELEL,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,213,Shipped in Plate 4,NA,16
771,36,,ER-L,ELEL,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
777,36,,ER-L,ELEL,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
779,36,,ER-L,ELEL,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
770,36,,ER-L,ELEL,ELEV,,,,,No,13,NA,,NA,,,,213,shipped in Plate 4,NA,16
769,36,,ER-L,ELEL,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1183,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1184,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1185,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1196,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1188,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
1186,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,Shipped in Plate 4,NA,16
1187,37,,TR-L,TRSP,ELEV,,,,,No,13,NA,,NA,,,,213,,NA,16
104,47,18-Jul-17,WM-1,FETH-2,Control,12-Jul-17,opaque,,,Yes,13,Archived,,Sequenced,4,find_3,,13,,29,29
134,57,19-Jul-17,WM-2,POPR-3,Warming,13-Jul-17,clear & opaque,,,Yes,13,Archived,,Sequenced,,find_3,Send,215,,29,29
218,79,19-Jul-17,WM-2,ACLE-7,Warming,13-Jul-17,"gray, opaque",,,Yes,13,Archived,,Sequenced,2,,,13,retry Jan 22,29,29
222,81,19-Jul-17,WM-1,ACLE-2,Control,13-Jul-17,blue-grayish,,,Yes,13,Archived,,Sequenced,4,find_4,Send,262,,29,29
102,47,,WM-1,FETH-2,Control,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
1389,47,,WM-1,FETH-2,Control,,,,,No,13,NA,,NA,,,,13,,NA,29
103,47,,WM-1,FETH-2,Control,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
100,47,,WM-1,FETH-2,Control,12-Jul-17,,,,No,13,NA,,NA,,,,13,Shipped in Plate 4,NA,29
101,47,,WM-1,FETH-2,Control,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
105,47,,WM-1,FETH-2,Control,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
121,52,18-Jul-17,WM-2,FETH-1,Warming,12-Jul-17,opaque,,,Yes,13,Archived,,NA,,,,13,,NA,29
123,52,,WM-2,FETH-1,Warming,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
122,52,,WM-2,FETH-1,Warming,12-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,29
130,54,18-Jul-17,WM-2,FETH-3,Warming,12-Jul-17,black/green,,,Yes,13,Archived,,Extracted,Tube,find_4,Found,211,,NA,29
132,56,19-Jul-17,WM-1,ACLE-3,Control,13-Jul-17,concentric black inner & green outer,,,Yes,13,Archived,,NA,,,Find_April,214,,NA,29
133,56,,WM-1,ACLE-3,Control,13-Jul-17,,,,No,13,NA,,NA,,,,214,,NA,29
1492,56,,WM-1,ACLE-6,Control,,,,,No,13,NA,,NA,,,,214,,NA,29
135,57,,WM-2,POPR-3,Warming,13-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,29
136,57,,WM-2,POPR-3,Warming,13-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,29
137,57,,WM-2,POPR-3,Warming,13-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,29
138,57,,WM-2,POPR-3,Warming,13-Jul-17,,,,No,13,NA,,NA,,,,215,,NA,29
145,60,19-Jul-17,WM-1,ACLE-6,Control,13-Jul-17,"dark center, yellowish edges",,,Yes,13,Archived,,NA,,,,13,,NA,29
1133,60,,WM-2,POPR-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,29
1134,60,,WM-2,POPR-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,29
626,79,,WM-2,ACLE-7,Warming,,,,,No,13,NA,,NA,,,,13,,NA,29
627,79,,WM-2,ACLE-7,Warming,,,,,No,13,NA,,NA,,,,13,,NA,29
223,82,19-Jul-17,WM-1,ACLE-2,Control,13-Jul-17,"clear, opaque",,,Yes,13,Extracted,,Extracted,Tube,,PCR,213,retry Jan 22,NA,29
225,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,29
226,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,29
228,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,29
229,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,,NA,29
862,82,,WM-1,ACLE-2,Control,,,,,No,13,NA,,NA,,,,213,,NA,29
863,82,,WM-1,ACLE-2,Control,,,,,No,13,NA,,NA,,,,213,,NA,29
224,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,retry Jan 22,NA,29
227,82,,WM-1,ACLE-2,Control,13-Jul-17,,,,No,13,NA,,NA,,,,213,Retry Jan 9th,NA,29
98,46,18-Jul-17,ER-L,ELTR,ELEV,12-Jul-17,opaque,,,Yes,13,Find,,Sequenced,"Tube, 3",find_4,Sequenced,211,,47,47
97,46,,ER-L,ELTR,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,211,,NA,47
99,46,,ER-L,ELTR,ELEV,12-Jul-17,,,,No,13,NA,,NA,,,,211,,NA,47
343,122,20-Jul-17,WM-10,POPR-5,Warming,14-Jul-17,"black center, white radial",,,Yes,13,Find,,Sequenced,2,,,13,,99,99
344,122,,WM-10,POPR-5,Warming,14-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,99
346,122,,WM-10,POPR-5,Warming,14-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,99
345,122,,WM-10,POPR-5,Warming,14-Jul-17,,,,No,13,NA,,NA,,,,13,,NA,99
273,100,20-Jul-17,WM-10,ACLE-2,Warming,14-Jul-17,black/grey opaque,,,Yes,13,Archived,,NA,,,,211,,NA,Extract
1295,100,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,211,,NA,
1300,100,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,211,,NA,
376,139,20-Jul-17,WM-8,ACLE-6,Warming,14-Jul-17,opaque,,,Yes,13,Archived,,NA,,,,13,,NA,Extract
598,139,,WM-8,ACLE-6,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
395,149,21-Jul-17,WM-8,POPR-4,Warming,14-Jul-17,"opaque, gray-brown",,,Yes,13,Archived,,NA,,,,13,,NA,Extract
469,194,22-Jul-17,TR-L,POPR,ELEV,17-Jul-17,yellow hue,,,Yes,13,Archived,,NA,,,,13,,NA,
470,194,,TR-L,POPR,ELEV,,,,,No,13,NA,,NA,,,,13,,NA,
515,219,22-Jul-17,WM-6,FETH-5,Warming,18-Jul-17,"opaque, gray",,,Yes,13,Archived,,NA,,,,13,,NA,
1580,219,,WM-6,FETH-5,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
551,235,22-Jul-17,WM-6,ACLE-3,Warming,18-Jul-17,webby white,,,Yes,13,Archived,,NA,,,,13,,NA,
552,235,,WM-6,ACLE-3,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
645,273,26-Jul-17,WM-2,FETH-2,Warming,,"Dark gray, fuzzy",,,Yes,13,Archived,,NA,,,,13,,NA,Extract
647,275,26-Jul-17,WM-2,FETH-2,Warming,,yellow,,,Yes,13,Archived,,NA,,,,13,,NA,
649,275,,WM-2,FETH-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
651,275,,WM-2,FETH-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
652,275,,WM-2,FETH-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
655,275,,WM-2,FETH-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
1296,275,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
1297,275,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
1299,275,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,13,,NA,
1298,275,,WM-10,ACLE-2,Warming,,,,,No,13,NA,,NA,,,,13,Shipped in Plate 4,NA,
654,275,,WM-2,FETH-2,Warming,,,,,No,13,NA,,NA,,,,13,retry Jan 22,NA,
144,59,19-Jul-17,WM-1,ACLE-6,Control,13-Jul-17,"dark, blueish",,,Yes,14,Find,,Sequenced,4,find_3,Done,252,,5,5
1493,59,,WM-1,ACLE-6,Control,,,,,No,14,NA,,NA,,,Done,252,,NA,5
27,18,18-Jul-17,WG-L,ELTR,ELEV,11-Jul-17,almost rosy tinge,,,Yes,14,Find,,NA,,NEED,Done,251,,16,16
91,42,18-Jul-17,ER-L,ACNE,ELEV,12-Jul-17,opaque,,,Yes,14,Find,,NA,,NEED,Done,251,,16,16
181,72,19-Jul-17,WM-1,POPR-1,Control,13-Jul-17,"clear, opaque",,,Yes,14,Find,,Sequenced,tube,NEED,Done,251,,16,16
420,165,21-Jul-17,WM-3,ACLE-2,Control,17-Jul-17,opaque,,,Yes,14,Find,,Sequenced,4,find_3,Done,14,,16,16
84,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
85,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
86,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
87,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
88,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
89,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
92,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
824,42,,ER-L,ACNE,ELEV,,,,,No,14,NA,,NA,,,Done,251,,NA,16
825,42,,ER-L,ACNE,ELEV,,,,,No,14,NA,,NA,,,Done,251,,NA,16
90,42,,ER-L,ACNE,ELEV,12-Jul-17,,,,No,14,NA,,NA,,,Done,251,Shipped in Plate 4,NA,16
182,72,,WM-1,POPR-1,Control,13-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
184,72,,WM-1,POPR-1,Control,13-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
1292,72,,TR-H,FESA,ELEV,,,,,No,14,NA,,NA,,,Done,251,,NA,16
1362,72,,WM-1,POPR-1,Control,,,,,No,14,NA,,NA,,,Done,251,,NA,16
183,72,,WM-1,POPR-1,Control,13-Jul-17,,,,No,14,NA,,NA,,,Done,251,Shipped in Plate 4,NA,16
185,72,,WM-1,POPR-1,Control,13-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,16
1119,165,,WM-3,ACLE-2,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,16
525,223,22-Jul-17,WM-5,FETH-4,Control,18-Jul-17,"white, wispy",,,Yes,14,Find,,Sequenced,,,Done,14,extracted jan26,29,20
555,237,22-Jul-17,WM-6,ACLE-4,Warming,18-Jul-17,,,,Yes,14,NA,,Sequenced,Tube,,Done,14,,29,20
526,223,,WM-5,FETH-4,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
527,223,,WM-5,FETH-4,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
528,223,,WM-5,FETH-4,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
1513,223,,WM-5,FETH-1,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
1514,223,,WM-5,FETH-1,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
1515,223,,WM-5,FETH-1,Control,,,,,No,14,NA,,NA,,,Done,14,,NA,20
1490,237,,WM-6,ACLE-4,Warming,,,,,No,14,NA,,NA,,,Done,14,,NA,20
556,237,,WM-6,ACLE-4,Warming,,,,,No,14,NA,,NA,,,Done,14,,NA,20
321,116,20-Jul-17,WM-10,FETH-1,Warming,14-Jul-17,"yellow tint, opaque",,,Yes,14,Archived,,Sequenced,4,find_3,Done,14,,29,29
322,116,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,14,,NA,29
323,116,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,14,,NA,29
324,116,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,14,,NA,29
325,116,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,14,,NA,29
326,116,,WM-10,FETH-1,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,14,,NA,29
351,125,20-Jul-17,WM-10,POPR-6,Warming,14-Jul-17,white. opaque,,,Yes,14,Find,,Sequenced,4,find_3,Done,251,,57,57
353,125,,WM-10,POPR-6,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,57
1180,125,,WM-10,POPR-6,Warming,,,,,No,14,NA,,NA,,,Done,251,Shipped in Plate 4,NA,57
352,125,,WM-10,POPR-6,Warming,14-Jul-17,,,,No,14,NA,,NA,,,Done,251,Shipped in Plate 4,NA,57
415,163,21-Jul-17,WM-3,ACLE-5,Control,17-Jul-17,clear opaque,,,Yes,14,Find,,Sequenced,4,find_3,Done,263,,82,82
419,163,,WM-3,ACLE-5,Control,17-Jul-17,,,,No,14,NA,,NA,,,Done,251,,NA,82
1420,163,,WM-3,ACLE-5,Control,,,,,No,14,NA,,NA,,,Done,251,,NA,82
15,11,18-Jul-17,WG-L,POPR,ELEV,11-Jul-17,blackish green,,,Yes,14,Find,,NA,Tube,NEED,Done,250,,103,103
21,11,,WG-L,POPR,ELEV,11-Jul-17,,,two growing on top of each other,No,14,NA,,NA,,,Done,250,,NA,103
429,169,21-Jul-17,WM-4,ACLE-7,Warming,17-Jul-17,opaque,,,Yes,14,NA,,NA,,NEED,Done,NA,,NA,Extract
446,180,,WM-4,POPR-6,Warming,,,,,No,14,NA,,NA,,,Done,NA,,NA,NA
1613,180,,WM-8,ACLE-5,Warming,,,,,No,14,NA,,NA,,,Done,NA,,NA,NA
488,204,22-Jul-17,TR-L,ACLE,ELEV,17-Jul-17,"white, opaque",,,Yes,14,Find,,NA,4,find_3,Done,249,,NA,Extract
889,350,28-Jul-17,WM-1,POPR-3,Control,,Gray green,Yellow,,Yes,15,Archived,,Sequenced,5,find_2,Done,,,40,40
619,264,26-Jul-17,WM-2,ACLE-7,Warming,,,,,Yes,15,Find,,Sequenced,3,,Done,237,,49,49
79,39,18-Jul-17,ER-L,POPR,ELEV,12-Jul-17,black/green,,yeast on top?,Yes,15,Find,,Extracted,,find_4,Done,,,NA,49
809,39,,ER-L,POPR,ELEV,,,,,No,15,NA,,NA,,,Done,,,NA,49
810,39,,ER-L,POPR,ELEV,,,,,No,15,NA,,NA,,,Done,,,NA,49
811,39,,ER-L,POPR,ELEV,,,,,No,15,NA,,NA,,,Done,,,NA,49
622,264,,WM-2,ACLE-7,Warming,,,,,No,15,NA,,NA,,,Done,237,,NA,49
623,264,,WM-2,ACLE-7,Warming,,,,,No,15,NA,,NA,,,Done,237,,NA,49
625,264,,WM-2,ACLE-7,Warming,,,,,No,15,NA,,NA,,,Done,237,,NA,49
311,269,,WM-4,POPR-1,Warming,,,,,No,15,NA,,Sequenced,,,Done,236,,59,59
639,269,26-Jul-17,WM-4,POPR-1,Warming,,Black fuzzy,,,Yes,15,Archived,,Do PCR again,4,find_4,Done,236,,NA,59
28,19,18-Jul-17,WG-L,ELTR,ELEV,11-Jul-17,"clear, dense",,,Yes,16,Archived,,Sequenced,4,find_2,Done,16,,16,16
245,89,20-Jul-17,WM-9,ACLE-1,Control,14-Jul-17,"grey, puffy webby",blackish green,,Yes,17,Archived,ITS1-FL in SP Plate 2,Sequenced,2,,Done,17,,28,28
1597,89,,WM-9,ACLE-1,Control,,,,,No,17,NA,,NA,,,Done,17,Shipped in Plate 4,NA,28
246,89,,WM-9,ACLE-1,Control,14-Jul-17,,,,No,17,NA,,NA,,,Done,17,,NA,28
1595,89,,WM-9,ACLE-1,Control,,,,,No,17,NA,,NA,,,Done,17,,NA,28
1596,89,,WM-9,ACLE-1,Control,,,,,No,17,NA,,NA,,,Done,17,,NA,28
1598,89,,WM-9,ACLE-1,Control,,,,,No,17,NA,,NA,,,Done,17,,NA,28
1599,89,,WM-9,ACLE-1,Control,,,,,No,17,NA,,NA,,,Done,17,,NA,28
178,71,19-Jul-17,WM-1,POPR-1,Control,13-Jul-17,blackish green,,,Yes,18,Find,,Extracted,"tube, 3",find_2,Send,,,NA,PCR
179,71,,WM-1,POPR-1,Control,13-Jul-17,,,,No,18,NA,,NA,,,,,,NA,
1361,71,,WM-1,POPR-1,Control,,,,,No,18,NA,,NA,,,,,Missing,NA,
1366,71,,WM-1,POPR-1,Control,,,,,No,18,NA,,NA,,,,,,NA,
180,71,,WM-1,POPR-1,Control,13-Jul-17,,,,No,18,NA,,NA,,,,,retry Jan 22,NA,
22,15,18-Jul-17,WG-H,TRSP,ELEV,11-Jul-17,black,,,Yes,19,Archived,,Sequenced,,find,Done,19,,52,52
1054,15,,WG-H,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1055,15,,WG-H,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1334,15,,WG-L,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1367,15,,WM-1,POPR-1,Control,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1368,15,,WM-1,POPR-1,Control,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1053,15,,WG-H,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,Shipped in Plate 4,NA,52
1057,15,,WG-H,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,,NA,52
1056,15,,WG-H,TRSP,ELEV,,,,,No,19,NA,,NA,,,Done,247,,NA,52
600,55,,WM-2,FETH-2,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,52
131,55,18-Jul-17,WM-2,FETH-3,Warming,12-Jul-17,"opaque, yellowy",,,Yes,19,Archived,,Sequenced,3,find,Done,247,Shipped in Plate 4,59,59
601,55,,WM-2,FETH-2,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,59
603,55,,WM-2,FETH-2,Warming,,,,,No,19,NA,,NA,,,Done,247,Disregard. There are two cultures labelled 406. One appears to be something different. ,NA,59
607,55,,WM-2,FETH-3,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,59
609,55,,WM-2,FETH-3,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,59
610,55,,WM-2,FETH-3,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,59
614,55,,WM-2,FETH-3,Warming,,,,,No,19,NA,,NA,,,Done,247,,NA,59
11,9,18-Jul-17,WG-L,TRSP,ELEV,11-Jul-17,"grey, shiny",grey,,Yes,20,Archived,ITS1-FL in SP Plate 2,Sequenced,Done,find,Done,20,Needs to be split,49,49
471,195,22-Jul-17,TR-L,POPR,ELEV,17-Jul-17,"white, opaque",,,Yes,21,Archived,,Sequenced,5,find_2,Done,,,29,29
1230,195,,TR-L,POPR,ELEV,,,,,No,21,NA,,NA,,,Done,,,NA,29
1234,195,,TR-L,POPR,ELEV,,,,,No,21,NA,,NA,,,Done,,,NA,29
1235,195,,TR-L,POPR,ELEV,,,,,No,21,NA,,NA,,,Done,,,NA,29
1236,195,29-Jul-17,TR-L,POPR,ELEV,,,,duplicate of 471,Yes,21,Archived,,Extracted,Tube,find_4,Done,,,NA,29
453,184,21-Jul-17,WG-H,POLE,ELEV,11-Jul-17,"orange, opaque center",,Michael: I believe the 453 and 452's description is mixed up,Yes,22,Find,,Sequenced,,,,,,40,40
23,16,18-Jul-17,WG-H,TRSP,ELEV,11-Jul-17,clear webby,,,Yes,22,Find,,Extracted,3,find_4,PCR,,,NA,Extract
24,16,,WG-H,TRSP,ELEV,11-Jul-17,,,,No,22,NA,,NA,,,,,,NA,
25,16,,WG-H,TRSP,ELEV,11-Jul-17,,,,No,22,NA,,NA,,,,,,NA,
1022,16,,WG-L,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,Missing,NA,
1061,16,,WG-H,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,,NA,
1336,16,,WG-L,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,,NA,
1337,16,,WG-L,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,,NA,
1414,16,,WM-4,POPR-2,Warming,,,,,No,22,NA,,NA,,,,,,NA,
1023,16,,WG-L,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,Shipped in Plate 4,NA,
1335,16,,WG-L,TRSP,ELEV,,,,,No,22,NA,,NA,,,,,,NA,
1156,184,,WG-H,POLE,ELEV,,,,,No,22,NA,,NA,,,,,,NA,
455,186,21-Jul-17,WG-H,ELTR,ELEV,11-Jul-17,black,,,Yes,23,Find,,Sequenced,3,find,Done,23,,83,83
1197,186,,WG-H,ELTR,ELEV,,,,,No,23,NA,,NA,,,Done,23,Shipped in Plate 4,NA,83
1198,186,,WG-H,ELTR,ELEV,,,,,No,23,NA,,NA,,,Done,23,,NA,83
1413,186,,WM-4,POPR-2,Warming,,,,,No,23,NA,,NA,,,Done,23,,NA,83
403,156,21-Jul-17,WG-L,FETH,ELEV,11-Jul-17,"black, white fuzz",,,Yes,24,Find,,Sequenced,"2,4",find_2,Done,24,,59,59
275,102,20-Jul-17,WM-10,ACLE-2,Warming,14-Jul-17,"black middle, white radial",,,Yes,25,Archived,,Sequenced,2,find,Done,25,,40,40
1411,102,,WM-1,ACLE-1,Control,,,,,No,25,NA,,NA,,,Done,25,,NA,40
276,102,,WM-10,ACLE-2,Warming,14-Jul-17,,,,No,25,NA,,NA,,,Done,25,,NA,40
277,102,,WM-10,ACLE-2,Warming,14-Jul-17,,,,No,25,NA,,NA,,,Done,25, ,NA,40
278,102,,WM-10,ACLE-2,Warming,14-Jul-17,,,,No,25,NA,,NA,,,Done,25,,NA,40
279,102,,WM-10,ACLE-2,Warming,14-Jul-17,,,,No,25,NA,,NA,,,Done,25,,NA,40
260,94,20-Jul-17,WM-9,POPR-4,Control,14-Jul-17,"white opaque, black center",,,Yes,26,Archived,,Sequenced,tube,,Done,257,,20,20
261,94,,WM-9,POPR-4,Control,14-Jul-17,,,,No,26,NA,,NA,,,Done,257,,NA,20
266,97,20-Jul-17,WM-9,FETH-3,Control,14-Jul-17,white opaque,,,Yes,26,Archived,,Sequenced,2,find,Done,278,,32,32
267,97,,WM-9,FETH-3,Control,14-Jul-17,,,,No,26,NA,,NA,,,Done,278,,NA,32
268,97,,WM-9,FETH-3,Control,14-Jul-17,,,,No,26,NA,,NA,,,Done,278,,NA,32
1545,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1547,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1548,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1549,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1550,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1551,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1552,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
1546,97,,WM-9,FETH-5,Control,,,,,No,26,NA,,NA,,,Done,,,NA,32
163,66,19-Jul-17,WM-2,POPR-2,Warming,13-Jul-17,opaque,,,Yes,26,Archived,,Sequenced,2,,Done,255,,41,41
162,66,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,26,NA,,NA,,,Done,256,,NA,41
165,66,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,26,NA,,NA,,,Done,255,,NA,41
166,66,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,26,NA,,NA,,,Done,255,,NA,41
164,66,,WM-2,POPR-2,Warming,13-Jul-17,,,,No,26,NA,,NA,,,Done,255,,NA,41
476,197,22-Jul-17,TR-L,TRSP,ELEV,17-Jul-17,fine white wispy,,,Yes,26,Archived,,Sequenced,,,Done,258,,54,54
32,21,18-Jul-17,WG-H,ACLE,ELEV,11-Jul-17,clear,,,Yes,26,Archived,,DNA failed,,,Done,258,,NA,54
62,34,18-Jul-17,ER-H,POPR,ELEV,13-Jul-17,opaque,,,Yes,26,Archived,,Sequenced,5,find_3,Done,256,,62,62
63,34,,ER-H,POPR,ELEV,13-Jul-17,,,,No,26,NA,,NA,,,Done,256,,NA,62
65,34,,ER-H,POPR,ELEV,13-Jul-17,,,,No,26,NA,,NA,,,Done,256,Failed in Retry Jan 22nd,NA,62
1579,34,,WM-6,FETH-5,Warming,,,,,No,26,NA,,NA,,,Done,,Retry Jan 22nd,NA,62
64,34,,ER-H,POPR,ELEV,13-Jul-17,,,,No,26,NA,,NA,,,Done,256,,NA,62
1288,187,,WG-H,ACLE,ELEV,,,,,No,26,NA,,Sequenced,,,,,,80,80
1290,187,,WG-H,ACLE,ELEV,,,,,No,26,NA,,NA,,,,,,NA,80
1289,187,,WG-H,ACLE,ELEV,,,,,No,26,NA,,NA,,,,,,NA,80
3,3,15-Jul-17,WG-H,POPR,ELEV,11-Jul-17,,,,Yes,26,Archived,,Sequenced,4,find_3,Done,279,,88,88
42,3,,WG-H,POPR,ELEV,11-Jul-17,,,,No,26,NA,,NA,,,Done,279,Failed in Retry Jan 22nd,NA,88
43,3,,WG-H,POPR,ELEV,11-Jul-17,,,,No,26,NA,,NA,,,Done,279,,NA,88
1097,3,,WG-H,POPR,ELEV,,,,,No,26,NA,,NA,,,Done,,retry Jan 22,NA,88
1098,3,,WG-H,POPR,ELEV,,,,,No,26,NA,,NA,,,Done,,,NA,88
1166,3,,WG-L,ELTR,ELEV,,,,,No,26,NA,,NA,,,Done,,,NA,88
1167,3,,WG-L,ELTR,ELEV,,,,,No,26,NA,,NA,,,Done,,,NA,88
484,201,22-Jul-17,TR-L,POLE,ELEV,17-Jul-17,white wispy,,,Yes,26,Archived,,Sequenced,,,Done,277,Shipped in Plate 4,90,90
1266,201,,TR-L,POLE,ELEV,,,,,No,26,NA,,NA,,,Done,,retry Jan 9th,NA,90
5,5,15-Jul-17,WG-H,POLE,ELEV,11-Jul-17,,,,Yes,26,Archived,,Extracted,Tube,,PCR,254,,NA,Extract
427,168,21-Jul-17,WM-4,ACLE-1,Warming,17-Jul-17,opaque,,,Yes,26,Archived,,NA,,,Found,260,,NA,Extract
428,168,,WM-4,ACLE-1,Warming,17-Jul-17,,,,No,26,NA,,NA,,,,260,,NA,
1455,168,,WM-4,ACLE-7,Warming,,,,,No,26,NA,,NA,,,,,,NA,
